Player,Position,Still_in_league,Age_first_yr,Draft_pick,Hght_noshoes,Hght_wtshoes,Wingspan,Standing_reach,Vert_max,Vert_maxreach,Vert_nostep,Vert_nostep_reach,Weight,Body_fat,Hand_length,Hand_width,agility,sprint
Scotty Hopson,SG,0,24,61,77.75,78.5,82.5,103.5,36,139.5,32.5,136,205,4.8,8.5,10,10.47,3.18
Tony Mitchell,SF,0,22,61,77.25,78.25,82,100,40,140,31.5,131.5,216,5.7,8.5,10,11.82,3.52
Vander Blue,SG,0,20,61,75.5,77.25,78,100.5,37.5,138,28,128.5,197,4.6,8.5,9.5,10.4,3.14
Robert Covington,SF,1,22,61,78.25,79.5,85.75,106,36,142,29.5,135.5,209,4.7,9,8.5,11.69,3.34
JaMychal Green,PF,1,24,61,80,81,86.25,106.5,32.5,139,29.5,136,217,9.8,9.25,9.25,10.63,3.38
Hollis Thompson,SF,1,22,61,78.75,80,81.5,102.5,36.5,139,28.5,131,206,6,8.25,9.75,11.72,3.38
DeWayne Dedmon,C,1,24,61,82,83.5,88,109,32.5,141.5,28,137,239,8.4,9,11,12.75,3.4
Adonis Thomas,SF,0,20,61,76.75,77.75,85,99,40.5,139.5,34.5,133.5,232,7.5,9.25,9.5,11.66,3.32
Alex Kirk,C,0,23,61,81.25,82.75,87.5,109.5,31.5,141,28.5,138,252,13.6,9.25,10.5,11.2,3.48
Brandon Davies,PF,0,22,61,80.5,82.25,85.5,108.5,31.5,140,26,134.5,242,8.6,9,11,11.22,3.5
Drew Gordon,PF,0,24,61,80,80.75,83.5,103.5,34,137.5,29,132.5,239,9.1,8.5,9.75,11.35,3.49
Greg Smith,PF,0,21,61,80,81.25,86.5,106.5,36,142.5,29.5,136,253,7.4,9.75,12,12.43,3.36
Henry Sims,C,0,22,61,82,83.75,88,108,29.5,137.5,26.5,134.5,241,7.7,9.25,10,12.33,3.44
Jabari Brown,SG,0,22,61,75,76.25,80.25,100,32,132,28,128,202,6.1,9,9.25,11.6,3.5
James Southerland,SF,0,23,61,79,80,85,106,32,138,29,135,221,8.1,8,9.5,10.9,3.38
Kevin Jones,PF,0,23,61,78.25,79.5,85.5,105,32.5,137.5,27.5,132.5,251,11.2,9,7.75,11.94,3.6
Malcolm Thomas,PF,0,23,61,79.5,80.75,84.5,107.5,36.5,144,32,139.5,223,5.9,9.5,10.5,11.31,3.29
Scott Machado,PG,0,24,61,73,74,76,94.5,32.5,127,27,121.5,206,5.8,8.5,9.5,11.26,3.3
Sherron Collins,PG,0,22,61,70.25,71.75,74.5,94,33,127,27.5,121.5,217,9.2,8.5,9.5,12.31,3.24
